Id,Model,Price,Age_08_04,KM,HP,cc,Doors,Cylinders,Gears,Weight,Quarterly_Tax
27,ÊTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,34545,110,1600,3,4,5,1120,85
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,41415,110,1600,3,4,5,1120,85
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,44142,110,1600,3,4,5,1120,85
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,11090,110,1600,3,4,5,1120,85
31,ÊTOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,9750,97,1400,3,4,5,1100,19
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,35199,97,1400,3,4,5,1100,85
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,29510,97,1400,3,4,5,1100,85
34,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,32692,97,1400,3,4,5,1100,85
35,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,41000,97,1400,3,4,5,1100,85
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,43000,97,1400,3,4,5,1100,85
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,25000,97,1400,3,4,5,1100,85
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,10000,97,1400,3,4,5,1100,85
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,25329,97,1400,3,4,5,1100,85
40,ÊTOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,27500,97,1400,3,4,5,1100,85
41,ÊTOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,49059,97,1400,3,4,5,1100,85
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,44068,97,1400,3,4,5,1100,85
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,46961,97,1400,3,4,5,1100,85
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,110404,90,2000,5,4,5,1255,234
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,100250,90,2000,5,4,5,1255,234
46,ÊTOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,84000,90,2000,5,4,5,1270,234
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,79375,90,2000,5,4,5,1255,234
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,75048,97,1400,5,4,5,1110,85
49,ÊTOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,72215,90,2000,5,4,5,1255,234
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,64982,192,1800,5,4,6,1195,100
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,62636,90,2000,5,4,5,1255,234
52,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,57086,97,1400,5,4,5,1110,85
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,56000,110,1600,5,4,5,1180,100
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,49866,192,1800,5,4,5,1195,100
55,ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,49163,110,1600,5,4,5,1165,100
56,ÊTOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,45725,110,1600,5,4,5,1075,85
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,43210,97,1400,5,4,5,1110,85
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,43000,97,1400,5,4,5,1110,85
59,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,39704,110,1600,5,4,5,1180,100
60,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,38950,110,1600,5,4,5,1130,85
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,37400,97,1400,5,4,5,1110,85
62,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,37177,110,1600,5,4,5,1130,85
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,36544,110,1600,5,4,5,1130,85
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,33511,110,1600,5,4,5,1130,85
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,32809,97,1400,5,4,5,1110,85
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,32181,110,1600,5,4,5,1075,19
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,30993,110,1600,5,4,5,1130,85
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,30400,97,1400,5,4,5,1110,85
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,30000,110,2000,5,4,5,1275,234
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,29719,97,1400,5,4,5,1110,85
71,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,29206,97,1400,5,4,5,1110,85
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,29198,97,1400,5,4,5,1060,85
73,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,28817,110,1598,5,4,5,1130,85
74,ÊTOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,28227,97,1400,5,4,5,1110,85
75,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,28000,110,1600,5,4,5,1130,85
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,28000,110,1600,5,4,5,1115,85
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,25266,110,1600,5,4,5,1130,85
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,23489,110,1600,5,4,5,1115,85
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,22575,110,1600,5,4,5,1115,85
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,22000,97,1400,5,4,5,1110,85
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,20019,110,16000,5,4,5,1180,100
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,20000,110,1600,5,4,5,1115,85
83,ÊTOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,17003,97,1400,5,4,5,1110,85
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,16238,110,1600,5,4,5,1180,100
85,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,15414,97,1400,5,4,5,1110,85
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,8537,110,1600,5,4,5,1130,85
87,ÊTOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,7000,97,1400,5,4,5,1100,85
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,66966,90,2000,3,4,5,1245,210
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,51884,97,1400,3,4,5,1100,85
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,50005,110,2000,3,4,5,1265,234
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,48110,97,1400,3,4,5,1100,85
92,ÊTOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,37500,90,2000,3,4,5,1260,234
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,34472,90,1995,3,4,5,1260,234
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,33329,97,1400,3,4,5,1100,85
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,31850,110,1600,3,4,5,1120,85
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,30351,90,1995,3,4,5,1260,234
97,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,29435,97,1400,3,4,5,1100,85
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,25948,97,1400,3,4,5,1100,85
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,24500,110,1600,3,4,5,1120,85
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,23902,97,1400,3,4,5,1100,85
101,ÊTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,23175,110,1600,3,4,5,1120,85
102,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,19200,97,1400,3,4,5,1100,85
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,18000,71,1400,3,4,5,1125,85
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,16123,110,1600,3,4,5,1105,85
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,14635,110,1600,3,4,5,1155,100
106,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,13748,97,1400,3,4,5,1100,85
107,ÊTOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,11500,110,1600,3,4,5,1045,69
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,10000,97,1400,3,4,5,1100,85
109,ÊTOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,7187,110,1600,3,4,5,1105,85
111,ÊTOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,1,116,2000,5,4,5,1480,283
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,4000,116,2000,5,4,5,1480,283
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,1500,116,2000,5,4,5,1480,283
114,ÊTOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,116,2000,5,4,5,1320,234
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,116,2000,5,4,5,1320,234
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,10000,116,2000,5,4,5,1270,234
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,6000,90,2000,5,4,5,1280,234
118,ÊTOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,10841,90,2000,5,4,5,1270,234
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,1,110,1600,3,4,5,1105,85
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,63000,90,2000,5,4,5,1255,234
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,57313,110,2000,5,4,5,1275,234
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,57037,110,1600,5,4,5,1115,85
123,ÊTOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,51099,90,2000,5,4,5,1255,234
124,ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,40010,110,1600,5,4,5,1115,85
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,39115,110,1600,5,4,5,1130,85
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,36012,110,1600,5,4,5,1130,85
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,36000,110,1600,5,4,5,1130,85
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,36000,110,1600,5,4,5,1075,19
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,35000,97,1400,5,4,5,1110,85
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,33740,97,1400,5,4,5,1135,85
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,33477,110,1600,5,4,5,1075,19
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,32627,97,1400,5,4,5,1110,85
133,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,29797,97,1400,5,4,5,1110,85
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,29441,97,1400,5,4,5,1110,85
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,29371,110,1600,4,4,5,1105,19
136,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,29000,97,1400,5,4,5,1110,85
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,27821,97,1400,5,4,5,1110,85
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,27371,97,1400,5,4,5,1135,85
139,ÊTOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,25170,110,1600,5,4,5,1105,19
140,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,23000,11,25000,116,2000,5,4,5,1320,64
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,23000,110,1600,5,4,5,1130,85
142,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,22588,97,1400,5,4,5,1110,85
143,ÊTOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,21684,192,1800,5,4,5,1185,19
144,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,21428,110,1600,5,4,5,1130,85
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,20629,110,1600,4,4,5,1090,85
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,20270,110,1600,5,4,5,1130,85
147,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,20105,97,1400,5,4,5,1110,85
148,ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,20000,110,1600,5,4,5,1165,100
149,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,19988,110,1600,5,4,5,1130,85
150,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,18328,110,1600,5,4,5,1130,85
151,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,17896,110,1600,4,4,5,1150,85
152,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,17300,97,1400,5,4,5,1110,85
153,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,17038,110,1600,5,4,5,1130,85
154,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,13747,97,1400,5,4,5,1110,85
155,ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,13634,110,1600,5,4,5,1115,85
156,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,13178,110,1600,5,4,5,1130,85
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,13157,97,1400,4,4,5,1085,85
158,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,13000,110,1600,4,4,5,1105,85
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,12500,110,1600,5,4,5,1115,85
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,11999,110,1600,5,4,5,1130,85
161,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,11754,110,1600,5,4,5,1180,100
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,11000,110,1600,4,4,5,1105,85
163,ÊTOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,10000,110,1598,5,4,5,1105,85
164,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,7650,110,1600,5,4,5,1115,85
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,6500,110,1600,4,4,5,1100,85
166,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,6155,97,1400,5,4,5,1110,85
167,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,6000,110,1600,5,4,5,1130,85
168,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,5459,110,1600,5,4,5,1130,85
169,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,5278,110,1600,4,4,5,1150,85
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,5000,110,1600,5,4,5,1130,85
171,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,1,98,1400,4,4,5,1065,19
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,1,110,1600,5,4,5,1075,19
173,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,11000,110,1600,5,4,5,1130,85
174,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,10077,97,1400,5,4,5,1110,85
175,ÊTOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,10000,97,1400,5,4,5,1110,85
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,9788,110,1600,5,4,5,1130,85
177,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,8574,110,1600,5,4,5,1130,85
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,7000,110,1600,5,4,5,1115,85
179,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,6250,110,1600,5,4,5,1115,85
180,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,5000,110,1600,5,4,5,1130,85
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,3000,110,1600,5,4,5,1130,85
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,2000,110,1600,5,4,5,1075,19
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,450,97,1400,5,4,5,1110,85
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,225,97,1400,5,4,5,1110,85
185,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,15,110,1600,5,4,5,1130,85
186,ÊTOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,1,98,1400,4,4,5,1100,19
187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,1,110,1600,5,4,5,1075,19
188,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6950,43,243000,69,1900,3,4,5,1110,185
189,TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,9500,38,180638,90,2000,4,4,5,1160,210
190,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,11950,40,179860,90,2000,5,4,5,1205,210
191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,7750,43,178858,110,1600,3,4,5,1084,197
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11950,40,161000,69,1900,3,4,5,1105,185
193,TOYOTA Corolla 1.8D Stationwagen,4350,44,158320,69,1800,5,4,5,1110,64
194,TOYOTA Corolla 1.8D 4/5-Doors,4750,44,131273,69,1800,5,4,5,1110,64
195,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,11750,40,130062,69,1900,5,4,5,1140,185
196,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,123425,69,1900,5,4,5,1140,185
197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,118217,110,1600,5,4,5,1075,85
198,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,11900,44,110000,69,1900,5,4,5,1095,185
199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,39,108847,90,2000,5,4,5,1205,210
200,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,105699,97,1400,3,4,5,1025,69
201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,39,98823,110,1600,5,4,5,1119,197
202,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,44,96829,110,1600,5,4,5,1075,85
203,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,11250,40,96518,97,1400,3,4,5,1025,69
204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,42,92204,110,1600,5,4,5,1075,85
205,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,10450,35,91456,69,1900,3,4,5,1110,185
206,TOYOTA Corolla 19D LB Linea Terra 4/5-Doors,12950,43,89968,69,1900,5,4,5,1140,185
207,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,44,89757,110,1600,3,4,5,1045,69
208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,40,85389,110,1600,5,4,5,1075,85
209,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,43,85017,97,1400,5,4,5,1060,85
210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,41,84312,110,1600,5,4,5,1080,85
211,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,37,82743,110,1600,5,4,5,1121,197
212,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,81106,69,1900,5,4,5,1140,185
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,80425,90,2000,5,4,5,1205,210
